tipo,ano,titulo,autores,veiculo,qualis
artigo,2026,"APPLICATION OF A NEURO-FUZZY HIERARCHICAL SYSTEM IN THE MANAGEMENT OF PROJECTS FOR THE QUALIFICATION AND RATIONALIZATION OF PUBLIC BUS TRANSPORT","OLIVEIRA R.G.; OLIVEIRA D.; SILVA A.F.","REVISTA MULTIDISCIPLINAR DO NORDESTE MINEIRO v.13",A2
artigo,2025,"Evaluation of Open-Ended Responses in Education with the Help of Chatgpt: Challenges in Implementation","MUNDIM R.R.; DIONISIO D.L.; MENA D.S.; OLIVEIRA D.; VICTER E.F.","RGSA v.19 e013330",C
artigo,2024,"CURADORIA DIGITAL COMO RECURSO PEDAGÓGICO PARA EDUCAÇÃO INCLUSIVA","VIDAL A.; OLIVEIRA D.","Revista Docência e Cibercultura v.8",A3
artigo,2023,"JOGOS DIGITAIS EM EDUCAÇÃO FINANCEIRA: UMA INTERMEDIAÇÃO ENTRE O MUNDO ECONÔMICO E O MUNDO DIGITAL","SOARES V.C.; OLIVEIRA D.","Revista Ibero-Americana v.9 p.1478-1495",A3
artigo,2023,"CONTRIBUIÇÕES PARA O ENSINO DE CIÊNCIAS UTILIZANDO A TECNOLOGIA: JOGOS DIGITAIS PARA BIOLOGIA E QUÍMICA","SISTON A.S.; OLIVEIRA D.; RODRIGUES G.C.","Revista Ibero-Americana v.9 p.1330-1342",A3
artigo,2023,"TECNOLOGIAS NO ENSINO DA MATEMÁTICA EM UMA EXPERIÊNCIA COM A ROBÓTICA EDUCACIONAL","LING L.C.A.; OLIVEIRA D.","Revista Ibero-Americana v.9 p.918-938",A3
artigo,2023,"O USO DE LABORATÓRIOS VIRTUAIS PODE MINIMIZAR AS ABSTRAÇÕES NO ENSINO DE FÍSICA?","JESUS SOBRINHO A.V.; OLIVEIRA D.","RECIMA21 v.4 e453139",A4
artigo,2021,"Modelo de fluxo de rede para seleção de fornecedores em resposta aos desastres: região serrana SC","Lima F.S.; OLIVEIRA D.; TRIERWEILLER A.C.; VEFAGO Y.B.","EXACTA (ONLINE)",B2
capitulo,2025,"CURADORIA EDUCACIONAL COMO PROPOSTA PEDAGÓGICA PARA DEFICIÊNCIA INTELECTUAL","VAZ A.V.; OLIVEIRA D.","Mostra de produtos educacionais Unigranrio v.1 p.59-64",N/A
capitulo,2025,"PORTAL: A TECNOLOGIA E A MATEMÁTICA","LING L.C.A.; DÓREA M.M.; OLIVEIRA D.","Mostra de produtos educacionais Unigranrio v.1 p.13-21",N/A
capitulo,2024,"INCLUSÃO DE TECNOLOGIAS DIGITAIS: game design e avaliação gamificada no ensino superior","OLIVEIRA D.; DOREA M.M.","Extensão universitária tecnologia e inclusão digital",N/A
capitulo,2024,"Inteligência Artificial na Sala de Aula: ChatGPT como Recurso Pedagógico","MAIA B.L. et al.; OLIVEIRA D.","Métodos e práticas pedagógicas v.9 p.71",N/A
capitulo,2023,"AVALIAÇÃO GAMIFICADA: DESIGN DE JOGOS NO ENSINO SUPERIOR","OLIVEIRA D.; DOREA M.M.","REFLEXÕES SOBRE EDUCAÇÃO E ENSINO v.2 p.49",N/A
capitulo,2023,"DISPOSITIVOS MÓVEIS NA SALA DE AULA DE MATEMÁTICA NA EJA","Almeida J.; OLIVEIRA D.","Educação Matemática: tópicos atuais",N/A
capitulo,2023,"NOVAS TECNOLOGIAS NO ENSINO DA MATEMÁTICA COM ROBÓTICA EDUCACIONAL","LING L.C.A.; OLIVEIRA D.","Educação inovadora UFVJM / Diálogos Bagai",N/A
anais,2025,"ESCRITA ASSISTIDA COM INTELIGÊNCIA ARTIFICIAL: ABORDAGEM BASEADA EM RAG E BUSCA VETORIAL SEMÂNTICA","OLIVEIRA D.; OLIVEIRA R.G.; SILVA A.F.","5° Afya Global Meeting",N/A
anais,2025,"ULTRASSONOGRAFIA OBSTÉTRICA NA GRADUAÇÃO MÉDICA: PLATAFORMA VIRTUAL","LIMA C.A.S.; DÓREA M.M.; OLIVEIRA D.","5° Afya Global Meeting",N/A
anais,2024,"DESVENDANDO A INTELIGÊNCIA ARTIFICIAL NA FORMAÇÃO DOCENTE","OLIVEIRA D.; CARVALHO A.C.G.; GAMA L.C.","X FÓRUM STHEM",N/A
anais,2023,"PROTÓTIPO DE CHATBOT ASSISTENTE UTILIZANDO IA E GPT-3","OLIVEIRA D.; SILVA D.P.C.","IX Fórum STHEM",N/A
anais,2022,"Uso de Game Design para Avaliação Gamificada no Ensino Superior","OLIVEIRA D.; DÓREA M.M.","SBGames 2022 Estendido p.856",N/A
