tipo,nome,periodo,situacao,papel,descricao
pesquisa,"Tecnologias Digitais e Recursos Didáticos no Ensino de Ciências e Matemática",2021-Atual,Em andamento,Responsável,"Macroprojeto PPG Ensino de Ciências Unigranrio: metodologias ativas e TICs; 5 mestrandos + 1 especialização"
extensao,Girls'n Code,2019-2022,Concluído,Responsável,"Ensino de Computação para meninas e jovens; 5 graduação"
empresa,ProFuzzy Consultoria e Sistemas Ltda,1998-Atual,Em andamento,CTO / Sócio Fundador,"Consultoria em otimização combinatória e IA aplicada"
pesquisa,GPIAE – Grupo de Pesquisa em Inteligência Artificial na Educação,2025-Atual,Em andamento,Pesquisador,"Grupo multidisciplinar DEGC/UFSC: IA aplicada à gestão e prática de ensino; adoção responsável e eficaz"
formacao,Pós-doutorado,2026-Atual,Em andamento,Pesquisador,"Pós-doutorado iniciado em 2026 (detalhes a completar)"
pesquisa,"Enriquecendo o Conhecimento de Domínios com Extração de Informações Implícitas da Web",2021-2022,Concluído,Integrante,"Mecanismo de correlação entre termos e QA sobre dados estruturados/não-estruturados; FUNADESP"
pesquisa,"Desenvolvimento de Recursos de Acessibilidade Utilizando Arduino",2020-2021,Concluído,Integrante,"Soluções de baixo custo para cegos/baixa visão; FUNADESP"
pesquisa,"LOGÍSTICA HUMANITÁRIA: Análise e otimização de sistemas logísticos e de transporte",2013-2018,Concluído,Integrante,"Tese doutorado: sistema de transporte dinâmico para crise considerando custo x risco ruptura; SC e Amazonas"
pesquisa,"Logística Integrada - otimização e simulação com enfoque humanitário",2011-2018,Concluído,Integrante,"Localização de centrais de inteligência e redes dinâmicas de transporte"
software,"Dynamic Transport Network Prototype v2 / Dynamic Transport System Simulator Beta",2013-2018,Concluído,Autor,"Protótipo e simulador de rede dinâmica de transporte para crise rodoviária (tese doutorado)"
produto,Radar-Concessoes,2026-Atual,Ativo,Dev / Pesquisador,"Plataforma de inteligência de mercado para concessões públicas com agentes de IA (repo privado)"
produto,MAGMA-Framework,2026-Atual,Ativo,Dev / Pesquisador,"Framework próprio (repo privado) - foco IA/agentes"
produto,gerador_historias,2026-Atual,Ativo,Dev / Pesquisador,"Gerador de histórias horror com multiagentes + LLMs: roteiro prompts imagens narração"
produto,neuro-fuzzy,2026-Atual,Ativo,Dev / Pesquisador,"ANFIS completo em PyTorch com extração de regras linguísticas"
produto,OncoCore; prontuario; clinica-terapeutica,2026-Atual,Ativo,Dev / Pesquisador,"Frente Saúde & Bem-estar (repos privados)"
produto,"Analise-viagens; Busca-Empresas-Transporte",2025-2026,Ativo,Dev / Pesquisador,"Otimização de frota mínima e prospecção transporte rodoviário"
